date,ticker,shares,mark_price,mark_value
2023-03-21,KOS,4200,37700.0,158340000.0
2023-03-22,KOS,4200,38000.0,159600000.0
2023-03-23,KOS,4200,38100.0,160020000.0
2023-05-12,KOS,4200,38050.0,159810000.0
2023-05-12,PVD,7300,21954.415011037527,160267229.58057395
2023-05-15,KOS,4200,38150.0,160230000.0
2023-05-15,PVD,7300,21367.66004415011,155983918.3222958
2023-05-16,KOS,4200,38250.0,160650000.0
2023-05-16,PVD,7300,21856.62251655629,159553344.3708609
2023-05-17,KOS,4200,38350.0,161070000.0
2023-05-17,PVD,7300,21465.452538631347,156697803.53200883
2023-05-17,BMP,2500,62116.603790480076,155291509.4762002
2023-05-18,KOS,4200,38400.0,161280000.0
2023-05-18,PVD,7300,21905.51876379691,159910286.97571746
2023-05-18,BMP,2500,62116.603790480076,155291509.4762002
2023-05-19,KOS,4200,38200.0,160440000.0
2023-05-19,PVD,7300,22932.33995584989,167406081.6777042
2023-05-19,BMP,2500,58843.20685296413,147108017.13241032
2023-05-22,KOS,4200,38250.0,160650000.0
2023-05-22,PVD,7300,23079.028697571743,168476909.49227372
2023-05-22,BMP,2500,59544.6490538604,148861622.634651
2023-05-23,KOS,4200,38350.0,161070000.0
2023-05-23,PVD,7300,23274.613686534216,169904679.91169977
2023-05-24,KOS,4200,38400.0,161280000.0
2023-05-24,PVD,7300,22883.443708609273,167049139.0728477
2023-05-25,KOS,4200,38450.0,161490000.0
2023-05-25,PVD,7300,23421.30242825607,170975507.7262693
2023-05-26,KOS,4200,38500.0,161700000.0
2023-05-26,PVD,7300,23323.509933774836,170261622.5165563
2023-05-29,KOS,4200,38500.0,161700000.0
2023-05-29,PVD,7300,23176.82119205298,169190794.70198676
2023-05-30,KOS,4200,38400.0,161280000.0
2023-05-30,PVD,7300,23519.094922737306,171689392.93598235
2023-05-31,KOS,4200,38350.0,161070000.0
2023-05-31,PVD,7300,23665.783664459163,172760220.75055188
2023-06-01,KOS,4200,38400.0,161280000.0
